OBJECTID_1,drivealone_ct,boeint_fkey,driveshare_ct,bus_ct,railferry_ct,bike_ct,walk_ct,commuteother_ct,commute_travel_total,workathome_ct,commute_total,GlobalID
1,1000,132409,90,110,0,0,0,60,1260,10,1270,05a66234-e967-40ac-9ac9-ea644e58deb3
2,1000,116510,90,110,0,0,0,60,1260,10,1270,feab213e-67ae-45f5-8a70-ee69f9fd6fd1
3,1910,117715,254,90,0,0,15,125,2394,165,2560,cf89597d-f5bc-402b-a98c-4298ff5dfd94
4,1000,148227,90,110,0,0,0,60,1260,10,1270,8a7ee397-61d1-4596-a1ea-3bce6042f7a9
5,1000,135149,90,110,0,0,0,60,1260,10,1270,414e0d30-010e-4c9e-b0b0-a909addc7161
6,1000,145815,90,110,0,0,0,60,1260,10,1270,85e0db25-a79b-4969-9333-63d7fb01a42a
7,1000,103686,90,110,0,0,0,60,1260,10,1270,deb80755-bed0-4528-aa67-2fc1c3b845ff
8,1910,128213,254,90,0,0,15,125,2394,165,2560,4e1787a5-1c18-490b-8e41-94be7e6b02dc
9,1000,149335,90,110,0,0,0,60,1260,10,1270,000ac7d0-ffe4-4e43-babd-a6a87d831bff
10,1000,107123,90,110,0,0,0,60,1260,10,1270,91ac9409-d380-4805-80fe-88459fcb085b
11,1000,138688,90,110,0,0,0,60,1260,10,1270,61703acf-2919-475a-a605-c51f4f1df847
12,1000,121315,90,110,0,0,0,60,1260,10,1270,f5de9899-3bda-49da-82fa-719f2090adaa
13,1000,100094,90,110,0,0,0,60,1260,10,1270,93ba09d2-f6a4-4a49-ae8c-b033d8a4a9e6
14,1000,117720,90,110,0,0,0,60,1260,10,1270,d6af9d05-77fc-4dd1-b775-f65b3822960b
15,1000,128212,90,110,0,0,0,60,1260,10,1270,0eeca942-84bf-4691-8279-9c57586407ac
16,1000,149289,90,110,0,0,0,60,1260,10,1270,0a459933-5b94-43a1-b77b-e1858f62e562
17,1000,149330,90,110,0,0,0,60,1260,10,1270,a9b5620e-5974-43da-a670-342ab0bb349e
18,1910,100093,254,90,0,0,15,125,2394,165,2560,2ab6dd05-b973-4f60-be69-8f334900f4a1
19,1000,107174,90,110,0,0,0,60,1260,10,1270,09708393-82ea-46e6-ae3d-b1ab45b1012a
