OBJECTID;Neighborhood;LAPD_Cost;LAPD_Days_in_Jail;LAPD_Arrests;LASD_Cost;LASD_Days_in_Jail;LASD_Arrests;F2010_Population;Combo_Cost;Combo_Cost_PerPop;Combo_Days;Combo_Days_PerPop;Combo_Arrests;Combo_Arrests_PerPop;spa;sup_dist;SHAPE_Length;SHAPE_Area
1;Acton;25282;110;51;1103120;7367;396;6128;1128402;1,84139E+14;7477;1,22014E+14;447;7,29439E+13;SPA 1 - Antelope Valley;District 5;5,54615E+14;1,00017E+14
2;Agoura Hills;83892;365;216;587038;3288;470;17147;670930;3,91281E+14;3653;2,1304E+14;686;4,0007E+14;SPA 2 - San Fernando;District 3;2,55669E+14;2,06274E+14
3;Agua Dulce;10573;46;23;377880;2513;140;21499;388453;1,80684E+14;2559;1,19029E+14;163;7,58175E+14;SPA 1 - Antelope Valley;District 5;4,39983E+14;8,00043E+14
4;Alhambra;301550;1312;647;2444920;16637;751;3535;2746470;7,76936E+14;17949;5,07751E+14;1398;3,95474E+14;SPA 3 - San Gabriel;District 1;2,10733E+14;1,92878E+14
5;Alondra Park;55621;242;112;667093;4244;326;83089;722714;8,69807E+14;4486;5,39903E+14;438;5,27146E+14;SPA 8 - South Bay;District 2;7,81229E+14;2,87711E+14
6;Altadena;221106;962;455;4779990;31710;1803;8557;5001096;5,84445E+14;32672;3,81816E+14;2258;2,63878E+14;SPA 3 - San Gabriel;District 5;3,02329E+14;2,20656E+14
7;Angeles Crest;0;0;0;21656;127;15;42356;21656;5,11285E+14;127;2,99839E+14;15;3,54141E+13;SPA 3 - San Gabriel;District 5;2,07924E+14;1,09179E+14
8;Arcadia;63666;277;157;467051;2889;262;542;530717;9,79183E+14;3166;5,84133E+14;419;7,73063E+14;SPA 3 - San Gabriel;District 5;3,99384E+14;2,82279E+14
9;Arleta;206856;900;429;465231;3207;126;56668;672087;1,18601E+14;4107;7,24748E+12;555;9,79389E+14;SPA 2 - San Fernando;District 3;1,22657E+14;7,84795E+14
10;Artesia;28500;124;60;2758390;18178;1090;16522;2786890;1,68678E+14;18302;1,10774E+14;1150;6,96042E+14;SPA 7 - East;District 4;1,22763E+14;4,11867E+14
11;Atwater Village;286381;1246;607;128149;829;57;11982;414530;3,45961E+14;2075;1,73176E+14;664;5,54165E+14;SPA 4 - Metro;District 1;1,20616E+14;4,49772E+14
12;Avalon;2528;11;5;521425;3229;291;3569;523953;1,46807E+14;3240;9,07817E+14;296;8,29364E+14;SPA 8 - South Bay;District 4;1,67206E+14;6,88143E+14
13;Avocado Heights;34706;151;70;4167110;28017;1419;12079;4201816;3,47861E+14;28168;2,33198E+14;1489;1,23272E+14;SPA 3 - San Gabriel;District 1;2,67004E+14;7,45535E+13
14;Azusa;61137;266;131;3205300;21271;1206;43729;3266437;7,46973E+14;21537;4,92511E+14;1337;3,05747E+14;SPA 3 - San Gabriel;District 1;4,51063E+14;2,49907E+14
15;Baldwin Park;129400;563;277;6320570;42906;1984;74506;6449970;8,65698E+14;43469;5,8343E+14;2261;3,03465E+14;SPA 3 - San Gabriel;District 1;2,651E+14;1,71478E+14
16;Bel-Air;41831;182;113;14772;75;15;8261;56603;6,85183E+14;257;3,111E+14;128;1,54945E+14;SPA 5 - West;District 3;1,90098E+13;1,61271E+14
17;Bell;187090;814;403;2869740;19007;1095;35643;3056830;8,57624E+14;19821;5,56098E+14;1498;4,20279E+14;SPA 7 - East;District 4;2,02967E+13;6,45348E+14
18;Bellflower;299711;1304;617;14077000;92202;5795;76616;14376711;1,87646E+14;93506;1,22045E+14;6412;8,36901E+14;SPA 7 - East;District 4;1,77035E+14;1,56369E+14
19;Bell Gardens;178126;775;378;3072030;20235;1218;41571;3250156;7,81833E+14;21010;5,054E+14;1596;3,83921E+14;SPA 7 - East;District 4;1,20222E+14;6,26611E+14
20;Beverly Crest;88488;385;215;41272;202;45;10347;129760;1,25408E+14;587;5,67314E+14;260;2,51281E+14;SPA 5 - West;District 3;2,83661E+14;2,08438E+14
21;Beverly Grove;212372;924;519;157162;914;112;20998;369534;1,75985E+14;1838;8,75321E+14;631;3,00505E+14;SPA 4 - Metro;District 3;1,37163E+14;4,17066E+14
22;Beverly Hills;190537;829;503;465616;3166;144;34109;656153;1,92369E+14;3995;1,17125E+14;647;1,89686E+14;SPA 5 - West;District 3;2,60545E+14;1,44254E+14
23;Beverlywood;37924;165;80;26628;167;14;5391;64552;1,1974E+14;332;6,15841E+14;94;1,74365E+14;SPA 5 - West;District 3;6,13263E+14;2,00869E+14
24;Boyle Heights;4107241;17870;7527;6579180;43274;2634;90048;10686421;1,18675E+14;61144;6,79016E+14;10161;1,1284E+14;SPA 4 - Metro;District 1;1,71871E+14;1,64838E+14
