OBJECTID;CITY;CITY_ID;CITY_TYPE;CITY_NAME;CITY_LABEL;COLOR_CODE;ABBR;CITY_NO;DESCRIPTN;URL;PHONE;OF_AREA_SM;FEAT_TYPE;COMMENT;COLOR_EGIS;POPULATION;Shape__Area;Shape__Length
47054;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1,34657E+14;3,24205E+13
47058;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;4,5113E+12;1,06089E+13
47062;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;5,82079E+13;5,21466E+14
47063;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;3750415625;8,67784E+14
47064;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1,52825E+12;6,00357E+14
47065;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;1,11687E+12;1,48701E+14
47066;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;8,15121E+12;1,41449E+14
47067;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;87335703125;3,85264E+14
47068;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;38136378125;4,10927E+14
47069;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;2,6752E+14;1,56402E+13
47070;;;City;Avalon;Avalon;2;;5;AVLN;www.cityofavalon.com;3105100220;292;Land;;Orange - RGB 230,190,112;;1,07324E+13;2,12387E+14
47071;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;80053203125;4,14582E+14
47072;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;62490234375;1,21107E+14
47073;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;18828125;5,43536E+14
47074;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;4,52961E+12;1,19897E+14
47075;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;2416953125;6,69587E+14
47076;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;20794921875;5,69032E+14
47077;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;7241640625;1,00103E+14
47078;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;8330234375;1,12131E+13
47079;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;42105078125;8,0298E+14
47080;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;8822484375;3,99518E+12
47081;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;26756640625;7,54477E+14
47082;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;3801171875;7,51955E+13
47083;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;560375;1,0175E+14
47084;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;92310546875;1,12872E+14
47085;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;17519140625;5,91136E+14
47086;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;8123046875;3,94888E+14
47087;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;4607734375;8,54373E+14
47088;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;61089453125;1,0751E+14
47089;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;91494140625;1,66449E+14
47090;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;166484375;5,80776E+14
47091;;;Unincorporated;Unincorporated;CO;1;;0;UNINC;www.lacounty.gov;2139744321;0;Land;;Yellow - RGB 255,255,115;;25935546875;6,97177E+14
