name;year;denom_tot_workers;commute time above 1 hour
Pico-Union;2021;18793,13;16,64
Glendora;2021;25208,2;17,26
Industry;2021;6066,56;16,16
Rolling Hills Estates;2021;3825,14;16,49
Signal Hill;2021;6158,4;16,35
North Hills;2021;27787,51;17,07
Hacienda Heights;2021;24996,09;18,38
Granada Hills;2021;26942,93;16,11
Pomona;2021;68581,93;16,79
South Whittier;2021;26004,39;17,57
Palmdale;2021;68335,62;31,54
Porter Ranch;2021;11524,33;16,52
Tujunga Canyons;2021;3324,3;32,67
San Dimas;2021;17272,8;17,73
Charter Oak;2021;4465,64;18,83
Historic South-Central;2021;21364,81;17,43
Westlake;2021;54637,73;20,05
Quartz Hill;2021;4476,1;22,09
Bell;2021;14544,27;15,76
Diamond Bar;2021;23001,42;18,93
West Covina;2021;52367,16;17,21
Vermont Square;2021;23163,93;1,87
Calabasas;2021;10317,24;19,97
Lancaster;2021;63403,71;18,21
Whittier;2021;39728,8;17,09
Walnut;2021;13174,12;20,42
Castaic Canyons;2021;22375,7;22,78
Whittier Narrows;2021;249,74;29,97
East Whittier;2021;4688,75;17,97
Florence;2021;22437,83;18,59
Cypress Park;2021;4064,53;16,16
Desert View Highlands;2021;1007,32;24,83
Leimert Park;2021;5412,71;1,59
Santa Clarita;2021;88261,35;22,03
Encino;2021;22062,8;1,59
Agoura Hills;2021;8032,5;15,27
Lake View Terrace;2021;5160,54;16,16
Adams-Normandie;2021;8266,71;17,02
Rancho Dominguez;2021;1610,46;18,16
Acton;2021;1448,51;42,38
La Puente;2021;17796,78;1,59
South Park;2021;14909,65;19,11
Woodland Hills;2021;35051,78;20,36
Angeles Crest;2021;1014,16;33,24
Elysian Valley;2021;3804;18,55
Avocado Heights;2021;6457,78;15,45
Northwest Antelope Valley;2021;1737,87;2,08
Unincorporated Santa Susana Mountains;2021;10319,53;20,46
Shadow Hills;2021;5866,93;18,48
Covina;2021;28640,61;18,17
North Whittier;2021;3179,38;1,86
Cerritos;2021;22052,22;16,52
West Hills;2021;19140,31;16,04
Sun Village;2021;700,41;30,46
Valinda;2021;9261,32;19,67
Exposition Park;2021;15943,01;19,24
Southeast Antelope Valley;2021;3147,2;34,66
Reseda;2021;35152,96;15,99
Highland Park;2021;26208,44;16,04
Broadway-Manchester;2021;11341,64;16,63
Agua Dulce;2021;2073,33;2,18
Topanga;2021;3782,63;18,65
Northeast Antelope Valley;2021;6692,02;28,64
Van Nuys;2021;56903,75;17,88
Valley Glen;2021;27733,33;0,17
West Puente Valley;2021;8467,57;15,63
Central-Alameda;2021;19497,87;16,48
Harvard Park;2021;4602,44;1,82
East Hollywood;2021;33015,03;15,56
Tarzana;2021;17012,92;17,79
Manchester Square;2021;5455,47;20,79
Vermont-Slauson;2021;12611,3;19,33
Unincorporated Santa Monica Mountains;2021;8489,19;18,41
Canoga Park;2021;32395,65;15,36
Chesterfield Square;2021;3849,5;17,68
Watts;2021;14406,51;17,84
La Verne;2021;14088,51;16,49
Rancho Palos Verdes;2021;17633,04;16,08
Green Meadows;2021;14153,82;16,67
Vermont Knolls;2021;9036,95;17,11
Castaic;2021;5351,84;18,99
South Diamond Bar;2021;1775,42;2,25
Cudahy;2021;9256,22;17,47
Palos Verdes Estates;2021;5174,75;17,01
Walnut Park;2021;7533,06;16,55
La Crescenta-Montrose;2021;9239,33;15,75
Alondra Park;2021;3869,87;16,85
Vermont Vista;2021;10422,64;18,36
Hyde Park;2021;15389,35;17,39
Westmont;2021;13507,76;1,62
Manhattan Beach;2021;15754,02;17,63
Hermosa Beach;2021;11330,51;17,21
Aggregated;2021;1546777,3;18,61
